date,abrir conta,nubank,banco inter,banco c6,isPartial
2016-03-27,10,6,0,0,False
2016-04-03,8,7,0,0,False
2016-04-10,9,8,0,0,False
2016-04-17,10,6,0,0,False
2016-04-24,11,8,0,0,False
2016-05-01,10,11,0,0,False
2016-05-08,9,9,0,0,False
2016-05-15,9,7,0,0,False
2016-05-22,7,8,0,0,False
2016-05-29,8,8,0,0,False
2016-06-05,8,9,0,0,False
2016-06-12,8,10,0,0,False
2016-06-19,7,8,0,0,False
2016-06-26,8,9,0,0,False
2016-07-03,8,11,0,0,False
2016-07-10,9,9,0,0,False
2016-07-17,9,10,0,0,False
2016-07-24,10,11,0,0,False
2016-07-31,10,12,0,0,False
2016-08-07,9,9,0,0,False
2016-08-14,9,9,0,0,False
2016-08-21,8,8,0,0,False
2016-08-28,9,8,0,0,False
2016-09-04,7,10,0,0,False
2016-09-11,8,12,0,0,False
2016-09-18,9,11,0,0,False
2016-09-25,10,12,0,0,False
2016-10-02,9,11,0,0,False
2016-10-09,11,10,0,0,False
2016-10-16,10,11,0,0,False
2016-10-23,10,12,0,0,False
2016-10-30,8,14,0,0,False
2016-11-06,11,13,0,0,False
2016-11-13,9,12,0,0,False
2016-11-20,11,15,0,0,False
2016-11-27,12,13,0,0,False
2016-12-04,14,12,0,0,False
2016-12-11,11,11,0,0,False
2016-12-18,10,28,0,0,False
2016-12-25,10,14,0,0,False
2017-01-01,11,14,0,0,False
2017-01-08,12,13,0,0,False
2017-01-15,13,11,0,0,False
2017-01-22,14,14,0,0,False
2017-01-29,14,14,0,0,False
2017-02-05,12,16,0,0,False
2017-02-12,14,14,0,0,False
2017-02-19,14,14,0,0,False
2017-02-26,11,14,0,0,False
2017-03-05,13,14,0,0,False
2017-03-12,12,14,0,0,False
2017-03-19,10,16,0,0,False
2017-03-26,12,13,0,0,False
2017-04-02,11,16,0,0,False
2017-04-09,10,14,0,0,False
2017-04-16,11,14,0,0,False
2017-04-23,10,14,0,0,False
2017-04-30,11,17,0,0,False
2017-05-07,11,15,0,0,False
2017-05-14,11,15,0,0,False
2017-05-21,11,15,0,0,False
2017-05-28,9,15,0,0,False
2017-06-04,11,14,1,0,False
2017-06-11,11,14,2,0,False
2017-06-18,11,17,2,0,False
2017-06-25,12,14,1,0,False
2017-07-02,12,20,3,0,False
2017-07-09,11,17,2,0,False
2017-07-16,11,17,2,0,False
2017-07-23,11,20,2,0,False
2017-07-30,12,19,4,0,False
2017-08-06,12,20,2,0,False
2017-08-13,12,20,2,0,False
2017-08-20,12,16,2,0,False
2017-08-27,12,21,3,0,False
2017-09-03,11,19,3,0,False
2017-09-10,12,18,4,0,False
2017-09-17,11,20,3,0,False
2017-09-24,11,19,3,0,False
2017-10-01,11,21,5,0,False
2017-10-08,11,19,3,0,False
2017-10-15,12,23,4,0,False
2017-10-22,13,32,6,0,False
2017-10-29,11,22,6,0,False
2017-11-05,12,25,6,0,False
2017-11-12,12,24,5,0,False
2017-11-19,10,25,5,0,False
2017-11-26,12,23,6,0,False
2017-12-03,12,27,6,0,False
2017-12-10,12,23,6,0,False
2017-12-17,11,25,6,0,False
2017-12-24,9,24,6,0,False
2017-12-31,14,27,8,0,False
2018-01-07,14,28,8,0,False
2018-01-14,14,26,8,0,False
